Player Name,Cities,Position,Season,Games Played,Minutes Played Per Game,Points Per Game,Average Field Goals made,Average Field Goals Attempted,Field Goal Percentage,Average 3-Point Field Goals Made,Average 3-Point Field Goals Attempted,3-Point Field Goal Percentage,Average Free Throws Made,Average Free Throws Attempted,Free Throw Percentage,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Double Double,Triple Double,Player Efficiency Rating
Allen Iverson,PHI,SG,2002,60.0,43.7,31.4,11.1,27.8,39.8,1.3,4.5,29.1,7.9,9.8,81.2,4.5,5.5,2.8,0.2,4.0,4.0,1.0,0.0
Shaquille O'Neal,LAL,C,2002,67.0,36.1,27.2,10.6,18.3,57.9,0.0,0.0,0.0,5.9,10.7,55.5,10.7,3.0,0.6,2.0,2.6,40.0,0.0,0.0
Paul Pierce,BOS,SF,2002,82.0,40.3,26.1,8.6,19.5,44.2,2.6,6.3,40.4,6.3,7.8,80.9,6.9,3.2,1.9,1.0,2.9,17.0,0.0,0.0
Tracy McGrady,ORL,SG,2002,76.0,38.3,25.6,9.4,20.9,45.1,1.4,3.7,36.4,5.5,7.3,74.8,7.9,5.3,1.6,1.0,2.5,24.0,1.0,0.0
Tim Duncan,SA,C,2002,82.0,40.6,25.5,9.3,18.3,50.8,0.0,0.1,10.0,6.8,8.5,79.9,12.7,3.7,0.7,2.5,3.2,67.0,0.0,0.0
Kobe Bryant,LAL,SF,2002,80.0,38.3,25.2,9.4,20.0,46.9,0.4,1.7,25.0,6.1,7.4,82.9,5.5,5.5,1.5,0.4,2.8,11.0,1.0,0.0
Vince Carter,TOR,G,2002,60.0,39.8,24.7,9.3,21.8,42.8,2.0,5.2,38.7,4.1,5.1,79.8,5.2,4.0,1.6,0.7,2.6,5.0,0.0,0.0
Dirk Nowitzki,DAL,F,2002,76.0,38.0,23.4,7.9,16.6,47.7,1.8,4.6,39.7,5.8,6.8,85.3,9.9,2.4,1.1,1.0,1.9,38.0,0.0,0.0
Karl Malone,UTAH,PF,2002,80.0,38.0,22.4,7.9,17.5,45.4,0.1,0.3,36.0,6.4,8.0,79.7,8.6,4.3,1.9,0.7,3.3,28.0,0.0,0.0
Antoine Walker,BOS,PF,2002,81.0,42.0,22.1,8.2,20.9,39.4,2.7,8.0,34.4,3.0,4.0,74.1,8.8,5.0,1.5,0.5,3.1,29.0,2.0,0.0
